statement_id,arquivo,linha,sentenca,sujeito,predicado,objeto,predicado_canonico
BH-IHF-2026-R01-028,Regras 1–18.md,52,Uma Linha da Área de Gol possui_distância exatamente 6 metros da Linha de Gol Externa [número decimal].,Uma Linha da Área de Gol,possui_distância,exatamente 6 metros da Linha de Gol Externa [número decimal],False
BH-IHF-2026-R01-029,Regras 1–18.md,53,Uma Linha da Área de Gol é_paralela_a Linha de Gol Externa.,Uma Linha da Área de Gol,é_paralela_a,Linha de Gol Externa,False
BH-IHF-2026-R01-030,Regras 1–18.md,54,A Quadra de Jogo possui exatamente duas Linhas da Área de Gol [número inteiro].,A Quadra de Jogo,possui,exatamente duas Linhas da Área de Gol [número inteiro],True
BH-IHF-2026-R01-031,Regras 1–18.md,55,A Linha Central possui_status IMAGINÁRIA.,A Linha Central,possui_status,IMAGINÁRIA,True
BH-IHF-2026-R01-032,Regras 1–18.md,56,A Linha Central divide a Área de Jogo em exatamente duas metades [número inteiro].,A Linha Central divide a Área de Jogo em exatamente duas metades [número inteiro],(predicado_não_detectado),,False
BH-IHF-2026-R01-033,Regras 1–18.md,57,O Ponto Central ocupa o centro da Linha Central.,O Ponto Central,ocupa,o centro da Linha Central,True
BH-IHF-2026-R01-034,Regras 1–18.md,58,O Tiro de Árbitro utiliza o Ponto Central.,O Tiro de Árbitro utiliza o Ponto Central,(predicado_não_detectado),,False
BH-IHF-2026-R01-035,Regras 1–18.md,59,Uma Linha da Quadra possui_largura no mínimo 5 centímetros [número decimal].,Uma Linha da Quadra,possui_largura,no mínimo 5 centímetros [número decimal],False
BH-IHF-2026-R01-036,Regras 1–18.md,60,Uma Linha da Quadra possui_largura no máximo 8 centímetros [número decimal].,Uma Linha da Quadra,possui_largura,no máximo 8 centímetros [número decimal],False
BH-IHF-2026-R01-037,Regras 1–18.md,61,Uma Linha da Quadra possui_material fita de cor sólida.,Uma Linha da Quadra,possui_material,fita de cor sólida,False
BH-IHF-2026-R01-038,Regras 1–18.md,62,Uma Linha da Quadra possui_contraste REGULAMENTAR com a areia.,Uma Linha da Quadra,possui_contraste,REGULAMENTAR com a areia,False
BH-IHF-2026-R01-039,Regras 1–18.md,63,"Uma Linha da Quadra possui_cor exatamente uma cor da enumeração azul, amarelo ou vermelho [enumeração].",Uma Linha da Quadra,possui_cor,"exatamente uma cor da enumeração azul, amarelo ou vermelho [enumeração]",False
BH-IHF-2026-R01-040,Regras 1–18.md,64,Uma Linha da Quadra possui_flexibilidade REGULAMENTAR.,Uma Linha da Quadra,possui_flexibilidade,REGULAMENTAR,False
BH-IHF-2026-R01-041,Regras 1–18.md,65,Uma Linha da Quadra possui_resistência REGULAMENTAR.,Uma Linha da Quadra,possui_resistência,REGULAMENTAR,False
BH-IHF-2026-R01-042,Regras 1–18.md,66,Uma Linha da Quadra não_pode_produzir Risco de Lesão nos pés.,Uma Linha da Quadra,não_pode_produzir,Risco de Lesão nos pés,False
BH-IHF-2026-R01-043,Regras 1–18.md,67,Uma Âncora Enterrada fixa uma Linha da Quadra em cada canto.,Uma Âncora Enterrada fixa uma Linha da Quadra em cada canto,(predicado_não_detectado),,False
BH-IHF-2026-R01-044,Regras 1–18.md,68,Uma Âncora Enterrada fixa uma Linha da Quadra em cada interseção entre Linha Lateral e Linha da Área de Gol.,Uma Âncora Enterrada fixa uma Linha da Quadra em cada interseção entre Linha Lateral e Linha da Área de Gol,(predicado_não_detectado),,False
BH-IHF-2026-R01-045,Regras 1–18.md,69,Um Cordão Elástico conecta cada canto a uma Âncora Enterrada.,Um Cordão Elástico conecta cada canto a uma Âncora Enterrada,(predicado_não_detectado),,False
BH-IHF-2026-R01-046,Regras 1–18.md,70,Uma Âncora Enterrada não_pode_possuir borda afiada.,Uma Âncora Enterrada,não_pode_possuir,borda afiada,False
BH-IHF-2026-R01-047,Regras 1–18.md,71,Um Anel de Borracha fixa uma Baliza às Linhas da Quadra.,Um Anel de Borracha fixa uma Baliza às Linhas da Quadra,(predicado_não_detectado),,False
BH-IHF-2026-R01-048,Regras 1–18.md,72,Uma Âncora não_pode_produzir perigo para Participante.,Uma Âncora,não_pode_produzir,perigo para Participante,False
BH-IHF-2026-R01-049,Regras 1–18.md,75,A Quadra de Jogo possui exatamente duas Balizas [número inteiro].,A Quadra de Jogo,possui,exatamente duas Balizas [número inteiro],True
BH-IHF-2026-R01-050,Regras 1–18.md,76,Uma Baliza ocupa o centro de uma Linha de Gol Externa.,Uma Baliza,ocupa,o centro de uma Linha de Gol Externa,True
BH-IHF-2026-R01-051,Regras 1–18.md,77,Uma Baliza possui exatamente dois Postes Verticais [número inteiro].,Uma Baliza,possui,exatamente dois Postes Verticais [número inteiro],True
BH-IHF-2026-R01-052,Regras 1–18.md,78,Uma Baliza possui exatamente um Travessão Horizontal [número inteiro].,Uma Baliza,possui,exatamente um Travessão Horizontal [número inteiro],True
BH-IHF-2026-R01-053,Regras 1–18.md,79,Um Travessão Horizontal conecta exatamente dois Postes Verticais [número inteiro].,Um Travessão Horizontal conecta exatamente dois Postes Verticais [número inteiro],(predicado_não_detectado),,False
BH-IHF-2026-R01-054,Regras 1–18.md,80,Uma Baliza possui_altura_interna exatamente 2 metros [número decimal].,Uma Baliza,possui_altura_interna,exatamente 2 metros [número decimal],False
BH-IHF-2026-R01-055,Regras 1–18.md,81,Uma Baliza possui_largura_interna exatamente 3 metros [número decimal].,Uma Baliza,possui_largura_interna,exatamente 3 metros [número decimal],False
BH-IHF-2026-R01-056,Regras 1–18.md,82,Um Poste da Baliza possui_material alumínio tubular.,Um Poste da Baliza,possui_material,alumínio tubular,False
BH-IHF-2026-R01-057,Regras 1–18.md,83,Um Travessão da Baliza possui_material alumínio tubular.,Um Travessão da Baliza,possui_material,alumínio tubular,False
BH-IHF-2026-R01-058,Regras 1–18.md,84,Um Componente Tubular da Baliza possui_diâmetro_externo exatamente 8 centímetros [número decimal].,Um Componente Tubular da Baliza,possui_diâmetro_externo,exatamente 8 centímetros [número decimal],False
BH-IHF-2026-R01-059,Regras 1–18.md,85,"Uma Baliza possui_cor exatamente uma cor da enumeração amarelo, azul ou vermelho [enumeração].",Uma Baliza,possui_cor,"exatamente uma cor da enumeração amarelo, azul ou vermelho [enumeração]",False
BH-IHF-2026-R01-060,Regras 1–18.md,86,As duas Balizas possuem a mesma cor.,As duas Balizas possuem a mesma cor,(predicado_não_detectado),,False
BH-IHF-2026-R01-061,Regras 1–18.md,87,Uma Baliza possui_contraste REGULAMENTAR com a areia.,Uma Baliza,possui_contraste,REGULAMENTAR com a areia,False
BH-IHF-2026-R01-062,Regras 1–18.md,88,Uma Baliza possui_contraste REGULAMENTAR com o fundo visual.,Uma Baliza,possui_contraste,REGULAMENTAR com o fundo visual,False
BH-IHF-2026-R01-063,Regras 1–18.md,89,O Suporte da Rede possui_profundidade_superior exatamente 80 centímetros [número decimal].,O Suporte da Rede,possui_profundidade_superior,exatamente 80 centímetros [número decimal],False
BH-IHF-2026-R01-064,Regras 1–18.md,90,O Suporte da Rede possui_profundidade_inferior exatamente 1 metro [número decimal].,O Suporte da Rede,possui_profundidade_inferior,exatamente 1 metro [número decimal],False
BH-IHF-2026-R01-065,Regras 1–18.md,91,Uma Rede da Baliza possui_material náilon resistente ou material sintético equivalente.,Uma Rede da Baliza,possui_material,náilon resistente ou material sintético equivalente,False
BH-IHF-2026-R01-066,Regras 1–18.md,92,Uma Rede da Baliza possui_tipo SEM_NÓ.,Uma Rede da Baliza,possui_tipo,SEM_NÓ,False
BH-IHF-2026-R01-067,Regras 1–18.md,93,Uma Malha da Rede possui_largura no máximo 80 milímetros [número decimal].,Uma Malha da Rede,possui_largura,no máximo 80 milímetros [número decimal],False
BH-IHF-2026-R01-068,Regras 1–18.md,94,Uma Malha da Rede possui_altura no máximo 80 milímetros [número decimal].,Uma Malha da Rede,possui_altura,no máximo 80 milímetros [número decimal],False
BH-IHF-2026-R01-069,Regras 1–18.md,95,Um Fio da Rede possui_espessura exatamente 6 milímetros [número decimal].,Um Fio da Rede,possui_espessura,exatamente 6 milímetros [número decimal],False
BH-IHF-2026-R01-070,Regras 1–18.md,96,Uma Rede da Baliza possui_fixação REGULAMENTAR nos Postes Verticais.,Uma Rede da Baliza,possui_fixação,REGULAMENTAR nos Postes Verticais,False
BH-IHF-2026-R01-071,Regras 1–18.md,97,Uma Rede da Baliza possui_fixação REGULAMENTAR no Travessão Horizontal.,Uma Rede da Baliza,possui_fixação,REGULAMENTAR no Travessão Horizontal,False
BH-IHF-2026-R01-072,Regras 1–18.md,98,Uma Rede da Baliza não_pode_permitir entrada lateral da Bola entre Rede e Poste.,Uma Rede da Baliza,não_pode_permitir,entrada lateral da Bola entre Rede e Poste,False
BH-IHF-2026-R01-073,Regras 1–18.md,99,Uma Rede da Baliza não_pode_permitir saída da Bola após entrada na Baliza.,Uma Rede da Baliza,não_pode_permitir,saída da Bola após entrada na Baliza,False
BH-IHF-2026-R01-074,Regras 1–18.md,100,Uma Rede da Baliza não_pode_interferir_com Goleiro.,Uma Rede da Baliza,não_pode_interferir_com,Goleiro,False
BH-IHF-2026-R01-075,Regras 1–18.md,101,A parte inferior da Rede possui_fixação em tubo curvo ou suporte equivalente.,A parte inferior da Rede,possui_fixação,em tubo curvo ou suporte equivalente,False
BH-IHF-2026-R01-076,Regras 1–18.md,102,Uma Rede da Baliza possui_contraste REGULAMENTAR com a areia.,Uma Rede da Baliza,possui_contraste,REGULAMENTAR com a areia,False
BH-IHF-2026-R01-077,Regras 1–18.md,103,Uma Rede da Baliza possui_contraste REGULAMENTAR com o fundo visual.,Uma Rede da Baliza,possui_contraste,REGULAMENTAR com o fundo visual,False
BH-IHF-2026-R01-078,Regras 1–18.md,104,Uma Rede da Baliza possui a mesma cor da Baliza.,Uma Rede da Baliza,possui,a mesma cor da Baliza,True
BH-IHF-2026-R01-079,Regras 1–18.md,105,A base da Baliza possui exatamente uma Ancoragem sob a areia [número inteiro].,A base da Baliza,possui,exatamente uma Ancoragem sob a areia [número inteiro],True
BH-IHF-2026-R01-080,Regras 1–18.md,106,Uma Ancoragem da Baliza não_pode_produzir perigo para Participante.,Uma Ancoragem da Baliza,não_pode_produzir,perigo para Participante,False
BH-IHF-2026-R01-081,Regras 1–18.md,107,Uma Rede de Proteção ocupa uma posição exatamente 3 metros atrás da Área de Gol [número decimal].,Uma Rede de Proteção,ocupa,uma posição exatamente 3 metros atrás da Área de Gol [número decimal],True
BH-IHF-2026-R01-082,Regras 1–18.md,108,Uma Rede de Proteção possui_largura exatamente 12 metros [número decimal].,Uma Rede de Proteção,possui_largura,exatamente 12 metros [número decimal],False
BH-IHF-2026-R01-083,Regras 1–18.md,109,Uma Rede de Proteção possui_altura exatamente 7 metros [número decimal].,Uma Rede de Proteção,possui_altura,exatamente 7 metros [número decimal],False
BH-IHF-2026-R01-084,Regras 1–18.md,110,Uma Rede de Proteção possui_tensão BAIXA.,Uma Rede de Proteção,possui_tensão,BAIXA,False
BH-IHF-2026-R01-085,Regras 1–18.md,111,Uma Rede de Proteção alcança a areia.,Uma Rede de Proteção alcança a areia,(predicado_não_detectado),,False
BH-IHF-2026-R01-086,Regras 1–18.md,114,A Mesa possui_capacidade no mínimo 3 pessoas [número inteiro].,A Mesa,possui_capacidade,no mínimo 3 pessoas [número inteiro],False
BH-IHF-2026-R01-087,Regras 1–18.md,115,A Mesa possui_capacidade no máximo 4 pessoas [número inteiro].,A Mesa,possui_capacidade,no máximo 4 pessoas [número inteiro],False
BH-IHF-2026-R01-088,Regras 1–18.md,116,A Mesa ocupa o centro de uma Linha Lateral.,A Mesa,ocupa,o centro de uma Linha Lateral,True
BH-IHF-2026-R01-089,Regras 1–18.md,117,A Mesa possui_distância no mínimo 3 metros da Linha Lateral [número decimal].,A Mesa,possui_distância,no mínimo 3 metros da Linha Lateral [número decimal],False
BH-IHF-2026-R01-090,Regras 1–18.md,118,A Mesa permite_visibilidade das duas Áreas de Substituição.,A Mesa,permite_visibilidade,das duas Áreas de Substituição,False
BH-IHF-2026-R01-091,Regras 1–18.md,121,Uma Área de Substituição de Jogador de Linha possui_comprimento exatamente 15 metros [número decimal].,Uma Área de Substituição de Jogador de Linha,possui_comprimento,exatamente 15 metros [número decimal],False
BH-IHF-2026-R01-092,Regras 1–18.md,122,Uma Área de Substituição possui_largura aproximadamente 3 metros [número decimal].,Uma Área de Substituição,possui_largura,aproximadamente 3 metros [número decimal],False
BH-IHF-2026-R01-093,Regras 1–18.md,123,A Quadra de Jogo possui exatamente duas Áreas de Substituição [número inteiro].,A Quadra de Jogo,possui,exatamente duas Áreas de Substituição [número inteiro],True
BH-IHF-2026-R01-094,Regras 1–18.md,124,Uma Área de Substituição ocupa o exterior de uma Linha Lateral.,Uma Área de Substituição,ocupa,o exterior de uma Linha Lateral,True
BH-IHF-2026-R01-095,Regras 1–18.md,125,Um Atleta com Papel Funcional Jogador de Linha entra_na Quadra de Jogo exclusivamente pela própria Área de Substituição.,Um Atleta com Papel Funcional Jogador de Linha,entra_na,Quadra de Jogo exclusivamente pela própria Área de Substituição,False
BH-IHF-2026-R01-096,Regras 1–18.md,126,Um Atleta sai_da Quadra de Jogo pelo caminho mais curto no lado da própria Área de Substituição.,Um Atleta,sai_da,Quadra de Jogo pelo caminho mais curto no lado da própria Área de Substituição,False
BH-IHF-2026-R01-097,Regras 1–18.md,127,Um Atleta pode_sair_da Quadra de Jogo pela Linha Lateral da Área de Jogo no lado da própria Área de Substituição.,Um Atleta,pode_sair_da,Quadra de Jogo pela Linha Lateral da Área de Jogo no lado da própria Área de Substituição,False
BH-IHF-2026-R01-098,Regras 1–18.md,128,Um Atleta pode_sair_da Quadra de Jogo pela Linha Lateral da Área de Gol no lado da própria Área de Substituição.,Um Atleta,pode_sair_da,Quadra de Jogo pela Linha Lateral da Área de Gol no lado da própria Área de Substituição,False
BH-IHF-2026-R01-099,Regras 1–18.md,129,Um Atleta com Papel Funcional Goleiro entra_na Quadra de Jogo pela Linha Lateral da própria Área de Gol.,Um Atleta com Papel Funcional Goleiro,entra_na,Quadra de Jogo pela Linha Lateral da própria Área de Gol,False
BH-IHF-2026-R01-100,Regras 1–18.md,130,A entrada do Goleiro ocorre no lado da própria Área de Substituição.,A entrada do Goleiro ocorre no lado da própria Área de Substituição,(predicado_não_detectado),,False
BH-IHF-2026-R01-101,Regras 1–18.md,131,Um Goleiro Substituto pode_aguardar sentado junto à Linha Lateral entre a própria Linha de Gol e a Linha da Área de Gol.,Um Goleiro Substituto,pode_aguardar,sentado junto à Linha Lateral entre a própria Linha de Gol e a Linha da Área de Gol,False
BH-IHF-2026-R01-102,Regras 1–18.md,132,Um Goleiro Substituto pode_aguardar ajoelhado junto à Linha Lateral entre a própria Linha de Gol e a Linha da Área de Gol.,Um Goleiro Substituto,pode_aguardar,ajoelhado junto à Linha Lateral entre a própria Linha de Gol e a Linha da Área de Gol,False
BH-IHF-2026-R01-103,Regras 1–18.md,133,"Se o REGIME_2026_07_01 está vigente, então um Goleiro Substituto não_pode_aguardar nessa posição durante o Shoot-out.",Se o,REGIME_2026_07_01,"está vigente, então um Goleiro Substituto não_pode_aguardar nessa posição durante o Shoot-out",False
BH-IHF-2026-R01-104,Regras 1–18.md,136,A Área de Jogo possui_comprimento exatamente 15 metros [número decimal].,A Área de Jogo,possui_comprimento,exatamente 15 metros [número decimal],False
BH-IHF-2026-R01-105,Regras 1–18.md,137,Uma Área de Gol possui_comprimento exatamente 6 metros [número decimal].,Uma Área de Gol,possui_comprimento,exatamente 6 metros [número decimal],False
BH-IHF-2026-R02-001,Regras 1–18.md,158,Os Árbitros executam exatamente um Sorteio antes da Partida [número inteiro].,Os Árbitros executam exatamente um Sorteio antes da Partida [número inteiro],(predicado_não_detectado),,False
BH-IHF-2026-R02-002,Regras 1–18.md,159,O Sorteio determina a escolha de Lado da Quadra.,O Sorteio determina a escolha de Lado da Quadra,(predicado_não_detectado),,False
BH-IHF-2026-R02-003,Regras 1–18.md,160,O Sorteio determina a escolha de Lado da Área de Substituição.,O Sorteio determina a escolha de Lado da Área de Substituição,(predicado_não_detectado),,False
BH-IHF-2026-R02-004,Regras 1–18.md,161,A Equipe Vencedora do Sorteio escolhe um Lado da Quadra ou um Lado da Área de Substituição.,A Equipe Vencedora do Sorteio escolhe um Lado da Quadra ou um Lado da Área de Substituição,(predicado_não_detectado),,False
BH-IHF-2026-R02-005,Regras 1–18.md,162,A Equipe Adversária escolhe a opção remanescente.,A Equipe Adversária escolhe a opção remanescente,(predicado_não_detectado),,False
BH-IHF-2026-R02-006,Regras 1–18.md,163,As Equipes trocam o Lado da Quadra após o Intervalo.,As Equipes trocam o Lado da Quadra após o Intervalo,(predicado_não_detectado),,False
BH-IHF-2026-R02-007,Regras 1–18.md,164,As Equipes não_trocam o Lado da Área de Substituição após o Intervalo.,As Equipes,não_trocam,o Lado da Área de Substituição após o Intervalo,False
BH-IHF-2026-R02-008,Regras 1–18.md,165,Um Período inicia_com Tiro de Árbitro.,Um Período,inicia_com,Tiro de Árbitro,False
BH-IHF-2026-R02-009,Regras 1–18.md,166,Um Gol de Ouro inicia_com Tiro de Árbitro.,Um Gol de Ouro,inicia_com,Tiro de Árbitro,False
BH-IHF-2026-R02-010,Regras 1–18.md,167,Um Tiro de Árbitro inicial exige Sinal de Apito.,Um Tiro de Árbitro inicial exige Sinal de Apito,(predicado_não_detectado),,False
BH-IHF-2026-R02-011,Regras 1–18.md,168,Um Jogador de Linha ocupa qualquer posição da Área de Jogo antes do Tiro de Árbitro inicial.,Um Jogador de Linha,ocupa,qualquer posição da Área de Jogo antes do Tiro de Árbitro inicial,True
BH-IHF-2026-R02-012,Regras 1–18.md,171,Uma Partida possui exatamente dois Períodos [número inteiro].,Uma Partida,possui,exatamente dois Períodos [número inteiro],True
BH-IHF-2026-R02-013,Regras 1–18.md,172,Cada Período possui_resultado independente.,Cada Período,possui_resultado,independente,False
BH-IHF-2026-R02-014,Regras 1–18.md,173,Um Período possui_duração exatamente 10 minutos [número inteiro].,Um Período,possui_duração,exatamente 10 minutos [número inteiro],False
BH-IHF-2026-R02-015,Regras 1–18.md,174,O Intervalo possui_duração exatamente 5 minutos [número inteiro].,O Intervalo,possui_duração,exatamente 5 minutos [número inteiro],False
BH-IHF-2026-R02-016,Regras 1–18.md,175,O Tempo de Jogo inicia_com Sinal de Apito.,O Tempo de Jogo,inicia_com,Sinal de Apito,False
BH-IHF-2026-R02-017,Regras 1–18.md,176,O Cronômetro inicia_com a execução do Tiro de Árbitro.,O Cronômetro,inicia_com,a execução do Tiro de Árbitro,False
BH-IHF-2026-R02-018,Regras 1–18.md,177,"Se um Período termina empatado, então o Período reinicia_com Gol de Ouro.","Se um Período termina empatado, então o Período",reinicia_com,Gol de Ouro,True
BH-IHF-2026-R02-019,Regras 1–18.md,178,O Gol de Ouro reinicia_com Tiro de Árbitro.,O Gol de Ouro,reinicia_com,Tiro de Árbitro,True
BH-IHF-2026-R02-020,Regras 1–18.md,179,A Equipe Vencedora do Período recebe exatamente 1 ponto de período [número inteiro].,A Equipe Vencedora do Período recebe exatamente 1 ponto de período [número inteiro],(predicado_não_detectado),,False
BH-IHF-2026-R02-021,Regras 1–18.md,180,"Se uma Equipe vence exatamente dois Períodos, então a Equipe vence a Partida.","Se uma Equipe vence exatamente dois Períodos, então a Equipe vence a Partida",(predicado_não_detectado),,False
BH-IHF-2026-R02-022,Regras 1–18.md,181,"Se uma Equipe vence exatamente dois Períodos, então o resultado da Partida possui_valor 2–0.","Se uma Equipe vence exatamente dois Períodos, então o resultado da Partida",possui_valor,2–0,True
BH-IHF-2026-R02-023,Regras 1–18.md,182,"Se cada Equipe vence exatamente um Período, então a Partida possui_resultado EMPATE_DE_PERÍODOS.","Se cada Equipe vence exatamente um Período, então a Partida possui_resultado",EMPATE_DE_PERÍODOS,,False
BH-IHF-2026-R02-024,Regras 1–18.md,183,"Se a Partida possui_resultado EMPATE_DE_PERÍODOS, então o Shoot-out decide a Equipe Vencedora.",Se a Partida possui_resultado,EMPATE_DE_PERÍODOS,", então o Shoot-out decide a Equipe Vencedora",False
BH-IHF-2026-R02-025,Regras 1–18.md,186,O Tempo de Jogo termina_com Sinal Final Automático do Cronômetro Público.,O Tempo de Jogo,termina_com,Sinal Final Automático do Cronômetro Público,False
BH-IHF-2026-R02-026,Regras 1–18.md,187,O Tempo de Jogo pode_terminar_com Sinal Final do Cronometrista.,O Tempo de Jogo,pode_terminar_com,Sinal Final do Cronometrista,False
BH-IHF-2026-R02-027,Regras 1–18.md,188,"Se nenhum Sinal Final ocorre, então o Árbitro assinala o término do Tempo de Jogo.","Se nenhum Sinal Final ocorre, então o Árbitro",assinala,o término do Tempo de Jogo,True
BH-IHF-2026-R02-028,Regras 1–18.md,189,"Se o REGIME_2026_07_01 está vigente, então o Cronometrista pode_assinalar o término do Tempo de Jogo na ausência de Sinal Final.",Se o,REGIME_2026_07_01,"está vigente, então o Cronometrista pode_assinalar o término do Tempo de Jogo na ausência de Sinal Final",False
BH-IHF-2026-R02-029,Regras 1–18.md,190,"Se o REGIME_2026_07_01 está vigente, então o Delegado Técnico pode_assinalar o término do Tempo de Jogo na ausência de Sinal Final.",Se o,REGIME_2026_07_01,"está vigente, então o Delegado Técnico pode_assinalar o término do Tempo de Jogo na ausência de Sinal Final",False
BH-IHF-2026-R02-030,Regras 1–18.md,191,"Se o Cronômetro Público não possui Sinal Automático, então o Cronometrista utiliza Cronômetro de Mesa ou Cronômetro Manual.",Se o Cronômetro Público não,possui,"Sinal Automático, então o Cronometrista utiliza Cronômetro de Mesa ou Cronômetro Manual",True
BH-IHF-2026-R02-031,Regras 1–18.md,192,"Se o Cronômetro Público não possui Sinal Automático, então o Cronometrista executa o Sinal Final.","Se o Cronômetro Público não possui Sinal Automático, então o Cronometrista",executa,o Sinal Final,True
BH-IHF-2026-R02-032,Regras 1–18.md,193,O Cronômetro Público possui_configuração_recomendada de 0 minuto a 10 minutos.,O Cronômetro Público,possui_configuração_recomendada,de 0 minuto a 10 minutos,False
BH-IHF-2026-R02-033,Regras 1–18.md,194,Uma Infração anterior ao Sinal Final recebe_punição.,Uma Infração anterior ao Sinal Final,recebe_punição,,False
BH-IHF-2026-R02-034,Regras 1–18.md,195,Uma Infração simultânea ao Sinal Final recebe_punição.,Uma Infração simultânea ao Sinal Final,recebe_punição,,False
BH-IHF-2026-R02-035,Regras 1–18.md,196,Uma Conduta Antidesportiva anterior ao Sinal Final recebe_punição.,Uma Conduta Antidesportiva anterior ao Sinal Final,recebe_punição,,False
BH-IHF-2026-R02-036,Regras 1–18.md,197,Uma Conduta Antidesportiva simultânea ao Sinal Final recebe_punição.,Uma Conduta Antidesportiva simultânea ao Sinal Final,recebe_punição,,False
